tier,total_vol,best_vol,best_keyword,slug,url,vol_1,vol_2,keyword_1,keyword_2,likely_sports
1,5700,4400,serbia vs latvia,latvia-vs-serbia,https://tabiji.ai/compare/latvia-vs-serbia/,1300,4400,latvia vs serbia,serbia vs latvia,yes
1,5500,3600,hungary vs armenia,armenia-vs-hungary,https://tabiji.ai/compare/armenia-vs-hungary/,1900,3600,armenia vs hungary,hungary vs armenia,yes
1,5500,3600,croatia vs montenegro,croatia-vs-montenegro,https://tabiji.ai/compare/croatia-vs-montenegro/,3600,1900,croatia vs montenegro,montenegro vs croatia,yes
1,5500,3600,new zealand vs australia,new-zealand-vs-australia,https://tabiji.ai/compare/new-zealand-vs-australia/,3600,1900,new zealand vs australia,australia vs new zealand,yes
1,5500,3600,italy vs spain,spain-vs-italy,https://tabiji.ai/compare/spain-vs-italy/,1900,3600,spain vs italy,italy vs spain,yes
1,5490,5400,senegal vs botswana,botswana-vs-senegal,https://tabiji.ai/compare/botswana-vs-senegal/,90,5400,botswana vs senegal,senegal vs botswana,yes
1,5300,2900,portugal vs argentina,argentina-vs-portugal,https://tabiji.ai/compare/argentina-vs-portugal/,2400,2900,argentina vs portugal,portugal vs argentina,yes
1,5300,2900,poland vs lithuania,lithuania-vs-poland,https://tabiji.ai/compare/lithuania-vs-poland/,2400,2900,lithuania vs poland,poland vs lithuania,yes
1,5200,3600,sri lanka vs new zealand,new-zealand-vs-sri-lanka,https://tabiji.ai/compare/new-zealand-vs-sri-lanka/,1600,3600,new zealand vs sri lanka,sri lanka vs new zealand,yes
1,4880,4400,usa vs jamaica,jamaica-vs-usa,https://tabiji.ai/compare/jamaica-vs-usa/,480,4400,jamaica vs usa,usa vs jamaica,yes
1,4800,2900,spain vs brazil,brazil-vs-spain,https://tabiji.ai/compare/brazil-vs-spain/,1900,2900,brazil vs spain,spain vs brazil,yes
1,4800,2900,japan vs ghana,ghana-vs-japan,https://tabiji.ai/compare/ghana-vs-japan/,1900,2900,ghana vs japan,japan vs ghana,yes
1,4800,2900,mexico vs guatemala,guatemala-vs-mexico,https://tabiji.ai/compare/guatemala-vs-mexico/,1900,2900,guatemala vs mexico,mexico vs guatemala,yes
1,4800,2900,south korea vs japan,japan-vs-south-korea,https://tabiji.ai/compare/japan-vs-south-korea/,1900,2900,japan vs south korea,south korea vs japan,yes
1,4720,4400,honduras vs curacao,curacao-vs-honduras,https://tabiji.ai/compare/curacao-vs-honduras/,320,4400,curacao vs honduras,honduras vs curacao,
1,4660,4400,guatemala vs dominican republic,dominican-republic-vs-guatemala,https://tabiji.ai/compare/dominican-republic-vs-guatemala/,260,4400,dominican republic vs guatemala,guatemala vs dominican republic,yes
